#Time,X,Y,Z,q_x,q_y,q_z,q_w
1236,-5.175953353,-3.950417154,0.085878813,0.44559288,0.89472925,0.022651545,-0.019835888
1237,-5.172688892,-3.951591069,0.085757856,0.445564248,0.894735449,0.023008331,-0.01978874
1238,-5.169418678,-3.952763657,0.085623065,0.445421979,0.894799013,0.023351055,-0.019715854
1239,-5.166153118,-3.953929425,0.085471644,0.445184084,0.894912926,0.023641573,-0.019571977
1240,-5.162884441,-3.955088901,0.085306605,0.444837173,0.895084062,0.023866308,-0.01936002
1241,-5.159603237,-3.956247601,0.085129608,0.444430964,0.895286805,0.024047651,-0.019088356
1242,-5.156311873,-3.957402576,0.084945173,0.443955242,0.895525109,0.024182144,-0.018808128
1243,-5.153010228,-3.958557357,0.084757667,0.443424113,0.895790003,0.024297254,-0.018573362
1244,-5.149686609,-3.959727232,0.08456598,0.4428563,0.896071078,0.024409632,-0.018414409
1245,-5.146345022,-3.960905782,0.084375195,0.44229273,0.896345887,0.024560358,-0.018384257
1246,-5.142988196,-3.962100043,0.084188268,0.441765917,0.896599929,0.024697926,-0.018478456
1247,-5.139627377,-3.963307065,0.083999662,0.441286286,0.89683114,0.024767847,-0.018624554
1248,-5.136253062,-3.964541778,0.083810413,0.440804298,0.897067125,0.024724221,-0.018731201
1249,-5.132880627,-3.965775989,0.083622864,0.440300538,0.89731767,0.024608151,-0.018731618
1250,-5.129500527,-3.967006813,0.083430293,0.43967037,0.897633232,0.024434627,-0.018641225
1251,-5.126114924,-3.968219288,0.083234726,0.438870315,0.898032663,0.024224244,-0.018530226
1252,-5.122725659,-3.969405457,0.08303187,0.43785235,0.898537296,0.023987708,-0.01845636
1253,-5.119326078,-3.970569652,0.082824208,0.436671534,0.899118769,0.023753365,-0.018417043
1254,-5.115913365,-3.971715995,0.082616467,0.435402286,0.899740834,0.023529816,-0.018374701
1255,-5.112474237,-3.972857252,0.082417852,0.434088677,0.900383364,0.023319868,-0.018248374
1256,-5.109000073,-3.973989928,0.082240451,0.432811965,0.901007054,0.023165923,-0.017984176
1257,-5.105486907,-3.975107369,0.082095224,0.431636905,0.901580272,0.023107223,-0.0175685
1258,-5.101933842,-3.976219593,0.081988478,0.430625601,0.902072849,0.023117498,-0.017080637
1259,-5.098357642,-3.977332246,0.081912216,0.42971222,0.902516507,0.023121316,-0.016636329
1260,-5.094771543,-3.978452637,0.081852977,0.428820802,0.902947827,0.023036171,-0.016348576
1261,-5.091196288,-3.979564568,0.081812766,0.427866141,0.903408046,0.022839224,-0.016212294
1262,-5.087620987,-3.980677173,0.081787496,0.426761634,0.903938292,0.022550773,-0.016172042
1263,-5.084046553,-3.981779709,0.081781476,0.425470349,0.904554558,0.022249034,-0.016155941
1264,-5.080472282,-3.98286508,0.081808719,0.424044956,0.905230811,0.02197949,-0.016123141
1265,-5.076902268,-3.983937226,0.081877386,0.422551359,0.905935376,0.021740072,-0.016087653
1266,-5.073350581,-3.985003312,0.081995599,0.420989021,0.906669717,0.021447559,-0.016070809
1267,-5.069820515,-3.986081757,0.082161624,0.419397905,0.907415794,0.021081665,-0.01604795
1268,-5.066299888,-3.987196869,0.082384377,0.417799845,0.908163015,0.0206513,-0.016023471
1269,-5.062781274,-3.988362686,0.082652781,0.416231607,0.908893545,0.020203655,-0.01598707
1270,-5.059267004,-3.989577272,0.082974195,0.414739045,0.909585082,0.019794515,-0.015958714
1271,-5.055747217,-3.990852021,0.083345466,0.413351905,0.910225133,0.019416191,-0.015919254
1272,-5.052217851,-3.992187676,0.083757121,0.412069753,0.910814804,0.019112336,-0.015799667
1273,-5.048672844,-3.993582736,0.084218167,0.410854933,0.911371385,0.018867698,-0.015634331
1274,-5.045114778,-3.995037459,0.084718144,0.409662636,0.911914205,0.018701011,-0.01546869
